比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分,上半场进球系数
27741,1,3,0,1,12,14,12,4,5,5,3,4,0,1,1,1,1,0,0,1,1,1,0,0,0.564706
27742,1,1,1,1,10,13,11,3,7,4,3,4,0,2,10,15,12,9,3,4,6,8,4,1,2.114286
27743,1,1,0,1,11,19,16,7,10,4,7,8,2,4,9,9,11,4,5,4,6,6,3,1,2.482051
27744,0,0,0,1,11,13,15,7,4,5,7,7,3,2,11,18,15,8,9,4,9,3,2,3,2.490000
27745,1,1,0,1,4,10,3,4,1,2,4,0,1,0,3,2,9,1,3,3,2,9,1,3,2.333333
27746,1,0,1,1,4,11,9,3,7,3,6,9,2,7,5,3,13,2,9,4,2,11,1,8,4.368254
27747,1,1,0,1,5,11,9,9,5,4,9,7,7,4,4,7,8,2,3,3,6,4,2,2,4.190476
27748,1,1,1,1,5,11,10,5,6,4,9,8,4,4,4,3,9,3,3,3,3,4,3,2,3.688889
27749,1,3,0,1,4,19,9,10,4,3,9,9,4,4,4,9,9,6,6,3,5,8,3,6,6.228571
27750,0,0,0,1,4,7,7,4,2,2,3,5,1,1,3,9,3,4,2,1,1,1,1,1,3.500000
27751,1,1,0,1,1,3,0,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,0,1.200000
27753,1,1,1,1,1,1,7,1,3,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,5.600000
27754,1,1,0,1,4,8,3,4,1,1,1,2,0,1,1,1,1,0,1,0,0,0,0,0,2.080000
27756,1,2,2,1,5,9,7,5,4,3,9,3,5,1,7,13,7,6,4,4,7,2,3,0,3.272727
27757,1,1,1,1,2,4,4,2,0,2,4,4,2,0,4,10,6,5,1,4,10,6,5,1,2.900000
27758,1,2,0,1,2,2,1,1,0,2,2,1,1,0,1,5,2,3,2,1,5,2,3,2,5.800000
27759,1,1,1,1,3,3,8,1,2,3,3,8,1,2,2,2,2,0,0,2,2,2,0,0,0.933333
27760,1,1,0,1,5,14,2,6,0,3,7,1,4,0,4,2,10,2,7,1,0,3,0,0,3.100000
27761,0,0,0,1,6,15,2,5,0,3,8,1,4,0,6,3,8,0,2,3,2,5,0,1,1.466667
27762,0,0,0,1,3,3,4,1,2,2,3,3,1,2,1,0,0,0,0,1,0,0,0,0,1.120000
27763,1,0,1,1,5,1,7,0,1,2,0,4,0,0,1,0,2,0,0,1,0,2,0,0,0.114286
27764,0,0,0,1,2,3,2,3,1,1,0,2,0,1,5,15,1,5,0,2,8,0,4,0,3.276190
27765,1,3,0,1,3,4,3,3,1,2,2,2,1,1,2,2,5,1,3,2,2,5,1,3,3.080000
27766,1,0,1,1,3,6,4,4,1,1,2,2,1,0,2,2,3,0,2,1,1,2,0,1,2.500000
27767,0,0,0,1,7,19,7,11,5,3,5,5,2,3,1,1,2,0,2,0,0,0,0,0,3.800000
27768,1,1,1,1,2,5,1,2,1,1,3,0,2,0,3,6,6,4,3,0,0,0,0,0,4.266667
27769,1,1,1,1,6,8,5,1,1,3,5,1,0,0,6,9,3,5,2,3,5,0,1,0,1.200000
27770,1,1,0,1,4,4,15,2,5,3,4,8,2,3,5,4,10,3,5,2,0,4,0,1,2.800000
27771,1,2,3,1,4,6,1,2,1,3,5,0,2,0,4,8,6,2,2,3,7,6,2,2,1.942857
27772,1,0,1,1,4,3,9,1,2,2,1,5,1,0,3,0,6,0,5,2,0,3,0,2,1.786667
27773,0,0,0,1,6,6,3,2,2,4,6,2,2,1,5,7,5,3,2,3,5,3,1,1,1.620000
27774,1,1,2,1,3,7,4,3,2,2,7,4,3,2,3,4,6,3,3,1,1,1,1,1,4.080000
27775,1,0,1,1,4,4,8,3,5,3,3,8,2,5,6,14,8,7,2,4,7,3,4,2,3.640000
27776,0,0,0,1,6,17,14,9,4,4,13,10,6,4,5,8,5,3,3,3,5,2,2,1,3.590000
